name,iata,icao,country
Private flight,-,N/A,
135 Airways,,GNL,United States
1Time Airline,1T,RNX,South Africa
2 Sqn No 1 Elementary Flying Training School,,WYT,United Kingdom
213 Flight Unit,,TFU,Russia
223 Flight Unit State Airline,,CHD,Russia
224th Flight Unit,,TTF,Russia
247 Jet Ltd,,TWF,United Kingdom
3D Aviation,,SEC,United States
40-Mile Air,Q5,MLA,United States
4D Air,,QRT,Thailand
611897 Alberta Limited,,THD,Canada
Ansett Australia,AN,AAA,Australia
Abacus International,1B,,Singapore
Abelag Aviation,W9,AAB,Belgium
Army Air Corps,,AAC,United Kingdom
Aero Aviation Centre Ltd.,,AAD,Canada
Aero Servicios Ejecutivos Internacionales,,SII,Mexico
Aero Biniza,,BZS,Mexico
Aero Albatros,,ABM,Spain
Aigle Azur,ZI,AAF,France
Aloha Airlines,AQ,AAH,United States
Alaska Island Air,,AAK,United States
American Airlines,AA,AAL,United States
Aviation Management Corporation,,AAM,United States
Atlantis Airlines (USA),,AAO,United States
Aerovista Airlines,,AAP,United Arab Emirates
Asiana Airlines,OZ,AAR,Republic of Korea
Askari Aviation,4K,AAS,Pakistan
Australia Asia Airlines,,AAU,Australia
Astro Air International,,AAV,United States
Afriqiyah Airways,8U,AAW,Libya
Afrinat International Airlines,Q9,AFU,Gambia
Afric'air Express,,AAX,Ivory Coast
Allegiant Air,G4,AAY,United States
Angus Aviation,,AAZ,Canada
Artem-Avia,,ABA,Ukraine
African Business and Transportations,,ABB,Democratic Republic of the Congo
Aban Air,K5,ABE,Iran
Aerial Oy,,ABF,Finland
Abakan-Avia,,ABG,Russia
ABSA - Aerolinhas Brasileiras,M3,TUS,Brazil
Abaet,,ABJ,Brazil
Alberta Citylink,,ABK,Canada
APSA Colombia,,ABO,Colombia
Aerovias Bueno,,ABU,Colombia
Aerocenter,,ACR,AEROCENTER
Antrak Air,4,ABV,Ghana
Airborne Express,GB,ABX,United States
ABX Air,GB,ABX,United States
ATA Brasil,,ABZ,Brazil
Avcard Services,,ACC,United Kingdom
Academy Airlines,,ACD,United States
Aero Comondu,,ACO,Mexico
Astral Aviation,8V,ACP,Kenya
Air Cess,,ACS,Liberia
Air Aurora,,AAI,United States
Air Cargo Transportation System,,ACU,Kenya
Air Charter Service,,ACV,United Kingdom
Aero Asia International,E4,RSO,Pakistan
Air Charters,,ACX,Canada
Air Togo,YT,TGA,Togo
Air Somalia,,RSM,Somali Republic
Atlas Cargo Lines,,ACY,Morocco
Airservices Australia,,ADA,Australia
Advance Leasing Company,4G,,United States
Aztec Worldwide Airlines,7A,,United States
Air Tindi,8T,,Canadian Territories
Antonov Airlines,,ADB,Ukraine
Air Atlantic Dominicana,,ADC,Dominican Republic
Advanced Air Co.,,ADD,Japan
Ada Air,ZY,ADE,Albania
Aerea Flying Training Organization,,ADG,Spain
Audeli Air,,ADI,Spain
Abicar,,ADJ,Ivory Coast
ADC Airlines,Z7,ADK,Nigeria
Aero Dynamics,,ADL,United Kingdom
Aerolineas Dominicanas,,ADM,Dominican Republic
Aerodienst GmbH,,ADN,Germany
Aerodiplomatic,,ADP,Mexico
Aerodyne,,ADY,United States
Avion Taxi,,ADQ,Canada
Adria Airways,JP,ADR,Slovenia
Aviones de Sonora,,ADS,Mexico
Air Dorval,,ADT,Canada
Airdeal Oy,,ADU,Finland
Advance Air Charters,,ADV,Canada
Air Andaman,,ADW,Thailand
Anderson Aviation,,ADX,United States
Air Europa,UX,AEA,Spain
Air Southwest Ltd.,,ASW,Canada
Air Special,,ASX,Czech Republic
Aero Benin,EM,AEB,Benin
